Country Name,Country Code,2021
Aruba,ABW,29342.10086
Africa Eastern and Southern,AFE,1537.336021
Afghanistan,AFG,368.7546142
Africa Western and Central,AFW,1757.030626
Angola,AGO,1953.533757
Albania,ALB,6492.872012
Andorra,AND,42137.32727
Arab World,ARB,6266.359916
United Arab Emirates,ARE,44315.55418
Argentina,ARG,10636.1202
Armenia,ARM,4966.513471
American Samoa,ASM,15743.31076
Antigua and Barbuda,ATG,15781.3957
Australia,AUS,60443.10916
Austria,AUT,53637.70571
Azerbaijan,AZE,5387.997975
Burundi,BDI,221.4776762
Belgium,BEL,51247.01435
Benin,BEN,1319.154995
Burkina Faso,BFA,893.0771558
Bangladesh,BGD,2457.92488
Bulgaria,BGR,12221.49661
Bahrain,BHR,26562.96914
"Bahamas, The",BHS,27478.38963
Bosnia and Herzegovina,BIH,7143.310548
Belarus,BLR,7302.257794
Belize,BLZ,6228.267309
Bermuda,BMU,114090.3283
Bolivia,BOL,3345.196589
Brazil,BRA,7507.160971
Barbados,BRB,17225.4623
Brunei Darussalam,BRN,31449.07656
Bhutan,BTN,3266.364905
Botswana,BWA,6805.221274
Central African Republic,CAF,461.1374902
Canada,CAN,51987.93905
Central Europe and the Baltics,CEB,18751.02651
Switzerland,CHE,91991.60046
Channel Islands,CHI,
Chile,CHL,16265.09598
China,CHN,12556.33312
Cote d'Ivoire,CIV,2549.041297
Cameroon,CMR,1666.932734
"Congo, Dem. Rep.",COD,577.2092152
"Congo, Rep.",COG,2290.382891
Colombia,COL,6104.136709
Comoros,COM,1577.471027
Cabo Verde,CPV,3293.233054
Costa Rica,CRI,12472.44373
Caribbean small states,CSS,10063.6913
Cuba,CUB,
Curacao,CUW,17717.59648
Cayman Islands,CYM,86568.76964
Cyprus,CYP,31551.81641
Czechia,CZE,26821.24523
Germany,DEU,51203.55447
Djibouti,DJI,3150.436729
Dominica,DMA,7653.17187
Denmark,DNK,68007.75667
Dominican Republic,DOM,8476.752157
Algeria,DZA,3690.627878
East Asia & Pacific (excluding high income),EAP,9771.648206
Early-demographic dividend,EAR,3702.692786
East Asia & Pacific,EAS,13041.78119
Europe & Central Asia (excluding high income),ECA,8758.938553
Europe & Central Asia,ECS,27152.47123
Ecuador,ECU,5965.132871
"Egypt, Arab Rep.",EGY,3698.834981
Euro area,EMU,42450.15377
Eritrea,ERI,
Spain,ESP,30103.51373
Estonia,EST,27943.70122
Ethiopia,ETH,925.077428
European Union,EUU,38411.06278
Fragile and conflict affected situations,FCS,1784.734325
Finland,FIN,53654.7503
Fiji,FJI,4646.612723
France,FRA,43658.97898
Faroe Islands,FRO,69010.3098
"Micronesia, Fed. Sts.",FSM,3571.336769
Gabon,GAB,8635.325694
United Kingdom,GBR,46510.28278
Georgia,GEO,5023.27438
Ghana,GHA,2363.299296
Gibraltar,GIB,
Guinea,GIN,1189.175999
"Gambia, The",GMB,772.1523951
Guinea-Bissau,GNB,795.1185693
Equatorial Guinea,GNQ,7506.667523
Greece,GRC,20192.5963
Grenada,GRD,9010.572245
Greenland,GRL,
Guatemala,GTM,5025.542291
Guam,GUM,35904.86355
Guyana,GUY,9998.544311
High income,HIC,48225.24121
"Hong Kong SAR, China",HKG,49800.54241
Honduras,HND,2771.717461
Heavily indebted poor countries (HIPC),HPC,1035.892553
Croatia,HRV,17685.32528
Haiti,HTI,1829.593044
Hungary,HUN,18728.12189
IBRD only,IBD,7221.406351
IDA & IBRD total,IBT,5682.466677
IDA total,IDA,1426.028713
IDA blend,IDB,1842.771049
Indonesia,IDN,4332.709281
IDA only,IDX,1216.372989
Isle of Man,IMN,
India,IND,2256.590409
Not classified,INX,
Ireland,IRL,100172.0793
"Iran, Islamic Rep.",IRN,4091.209187
Iraq,IRQ,4775.377454
Iceland,ISL,68727.63666
Israel,ISR,52170.71186
Italy,ITA,35657.49756
Jamaica,JAM,5183.581305
Jordan,JOR,4103.258966
Japan,JPN,39312.66037
Kazakhstan,KAZ,10373.78979
Kenya,KEN,2081.799855
Kyrgyz Republic,KGZ,1276.700365
Cambodia,KHM,1625.23502
Kiribati,KIR,1606.462514
St. Kitts and Nevis,KNA,18082.61019
"Korea, Rep.",KOR,34997.78164
Kuwait,KWT,
Latin America & Caribbean (excluding high income),LAC,7728.033309
Lao PDR,LAO,2535.623432
Lebanon,LBN,4136.146347
Liberia,LBR,675.6631858
Libya,LBY,6357.19555
St. Lucia,LCA,9414.226231
Latin America & Caribbean,LCN,8327.60519
Least developed countries: UN classification,LDC,1150.030148
Low income,LIC,704.5087865
Liechtenstein,LIE,
Sri Lanka,LKA,4013.687657
Lower middle income,LMC,2572.705144
Low & middle income,LMY,5491.92212
Lesotho,LSO,1094.098185
Late-demographic dividend,LTE,11465.85777
Lithuania,LTU,23723.34025
Luxembourg,LUX,133590.147
Latvia,LVA,21148.16294
"Macao SAR, China",MAC,43873.59116
St. Martin (French part),MAF,
Morocco,MAR,3795.380127
Monaco,MCO,234315.4605
Moldova,MDA,5230.661733
Madagascar,MDG,500.511032
Maldives,MDV,10366.29336
Middle East & North Africa,MEA,7562.825078
Mexico,MEX,10045.6805
Marshall Islands,MHL,6172.145065
Middle income,MIC,6074.084921
North Macedonia,MKD,6694.641126
Mali,MLI,873.7948624
Malta,MLT,33486.67198
Myanmar,MMR,1209.926942
Middle East & North Africa (excluding high income),MNA,3565.239343
Montenegro,MNE,9465.703999
Mongolia,MNG,4566.140154
Northern Mariana Islands,MNP,
Mozambique,MOZ,491.8391128
Mauritania,MRT,2166.046799
Mauritius,MUS,9106.237202
Malawi,MWI,634.8356601
Malaysia,MYS,11109.26184
North America,NAC,68369.66279
Namibia,NAM,4865.557765
New Caledonia,NCL,37159.54677
Niger,NER,590.6294548
Nigeria,NGA,2065.749068
Nicaragua,NIC,2045.535402
Netherlands,NLD,57767.87881
Norway,NOR,89154.27609
Nepal,NPL,1208.218534
Nauru,NRU,10648.14139
New Zealand,NZL,48781.02663
OECD members,OED,42446.85932
Oman,OMN,19509.46646
Other small states,OSS,13878.81484
Pakistan,PAK,1505.010193
Panama,PAN,14617.60448
Peru,PER,6621.574336
Philippines,PHL,3460.530963
Palau,PLW,12083.88815
Papua New Guinea,PNG,2672.94579
Poland,POL,17999.90995
Pre-demographic dividend,PRE,1411.45927
Puerto Rico,PRI,32640.71034
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,24567.50927
Paraguay,PRY,5891.499965
West Bank and Gaza,PSE,3663.969055
Pacific island small states,PSS,3643.845437
Post-demographic dividend,PST,49223.59503
French Polynesia,PYF,19914.60351
Qatar,QAT,66838.35743
Romania,ROU,14858.22943
Russian Federation,RUS,12194.77734
Rwanda,RWA,822.3479886
South Asia,SAS,2149.821595
Saudi Arabia,SAU,23185.87079
Sudan,SDN,751.8213501
Senegal,SEN,1636.893209
Singapore,SGP,72794.00302
Solomon Islands,SLB,2304.844567
Sierra Leone,SLE,480.0392113
El Salvador,SLV,4551.184661
San Marino,SMR,
Somalia,SOM,446.9815596
Serbia,SRB,9230.178316
Sub-Saharan Africa (excluding high income),SSA,1625.183118
South Sudan,SSD,
Sub-Saharan Africa,SSF,1626.277926
Small states,SST,12588.92779
Sao Tome and Principe,STP,2360.543554
Suriname,SUR,4869.134226
Slovak Republic,SVK,21391.92533
Slovenia,SVN,29291.40062
Sweden,SWE,61028.73806
Eswatini,SWZ,3978.403528
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,14653.30939
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,20908.5827
Chad,TCD,685.6902841
East Asia & Pacific (IDA & IBRD countries),TEA,9880.09607
